一毛不拔,zdic解释
近墨者黑,靠近朱砂容易被染成紅色，靠近黑墨則容易被染成黑色
近硃者赤,靠近朱砂容易被染成紅色，靠近黑墨則容易被染成黑色
如花似月,形容女子姿容出众||同“如花似玉”
似玉如花,比喻男子風姿俊秀
如玉如花,比喻男子風姿俊秀
如狼如虎,形容勇猛、猛烈
如虎如狼,形容像狼、虎般行動迅速，威武勇猛
如龍似虎,形容勇猛有活力
似虎如狼,形容像狼、虎般行動迅速，威武勇猛
吟風咏月,指詩人以清風、明月等題材來吟詠詩句
吟弄風月,指詩人以清風、明月等題材來吟詠詩句
詠月嘲風,指描写风云月露等景象而思想内容贫乏的写作
弄月嘲風,指描写风云月露等景象而思想内容贫乏的写作
嘲弄風月,指詩人以清風、明月等題材來吟詠詩句
嘲風詠月,指描写风云月露等景象而思想内容贫乏的写作
吟風詠月,旧指文人写作或朗诵以风月等自然景色为题材的作品||现多形容作品空虚无聊
嘯月吟風,指詩人以清風、明月等題材來吟詠詩句
嘲風弄月,指描写风云月露等景象而思想内容贫乏的写作
弄月吟風,指赏玩、吟咏风月美景
姑息惠姦,過於寬容、放縱
姑息惠奸,過於寬容、放縱
姑息養姦,過於寬容、放縱
形骸放浪,指放縱性情於形體之外
放浪形跡,指放縱性情於形體之外
放蕩形骸,行为放纵，不拘礼节
脫略形骸,指放縱性情於形體之外
形骸脫略,指放縱性情於形體之外
豈念舊惡,不記以往的過錯嫌隙
我行我法,指依所居地位做分內的事
伐罪弔民,讨伐有罪，拯救百姓||常用以作为发动战争的口号
伐罪弔人,讨伐有罪，拯救百姓||常用以作为发动战争的口号
毀家紓國,捐献所有家产，帮助国家减轻困难||同“毁家纾难”
毀家抒難,傾盡家產以解救國家危難
日暮路遠,比喻处境十分困难，到了末日||也形容穷困到极点||同“日暮途远”
日暮道遠,比喻处境十分困难，到了末日||也形容穷困到极点||同“日暮途远”
道遠日暮,道路很遥远，而且太阳西沉了||比喻还有很多事要做，可时间不多了
日暮途遠,天已晚了，路已走到了尽头||比喻处境十分困难，到了末日||也形容穷困到极点
日暮塗殫,天已晚了，路已走到了尽头||比喻处境十分困难，到了末日||也形容穷困到极点
日暮窮途,天已晚了，路已走到了尽头||比喻处境十分困难，到了末日||也形容穷困到极点
途遙日暮,犹日暮途穷||比喻到了走投无路的或衰亡的境地
途窮日暮,犹日暮途穷
呼天號地,哭叫天地||形容极为冤屈、怨恨或痛苦||亦作“呼天叫地”
籲地呼天,呼天唤地||形容极度悲切
呼天喚地,哭天叫地，形容极为痛苦
搶地呼天,大声叫天，用头撞地||形容极度悲伤
綺襦玉食,華麗的衣服，精緻的美食
錦衣肉食,形容豪华奢侈的生活
玉食錦衣,精美的衣食||形容豪华奢侈的生活
鳥語花香,鸟叫得好听，花开得喷香||形容春天的美好景象
花香鳥語,形容春天动人的景象
花香鳥鳴,形容景色美好
極樂世界,佛教指阿弥陀佛居住的地方||后泛指幸福安乐的地方
火燒眉毛,火烧到眉毛||比喻事到眼前，非常急迫
正人君子,旧时指品行端正的人||现多作讽刺的用法，指假装正经的人
目不暇給,美好新奇的事物太多，眼睛来不及看
目不給賞,眼睛来不及观赏||形容景物优美繁多
目不給視,形容眼前美好事物不斷或景物變化太快，讓人來不及觀賞
目不暇接,指东西多，眼睛都看不过来
目不暇賞,形容眼前美好事物不斷或景物變化太快，讓人來不及觀賞
駑馬十駕,原意是骏马一天的路程，驽马虽慢，但努力不懈，走十天也可以到达||比喻智力低的人只要刻苦学习，也能追上资质高的人
駑馬十舍,用马拉车，一天为一驾，十驾指十天路程||谓驽马奋力拉车，亦可至远||比喻能力低下的人只要奋勉从事，同样能达到目的
十駕難及,指劣馬拉車十天，也可以跑得很遠||比喻才智平庸的人，若能努力不懈，也能趕得上聰明的人
十駕莫及,指劣馬拉車十天，也可以跑得很遠||比喻才智平庸的人，若能努力不懈，也能趕得上聰明的人
雀屏中選,指被選為女婿||被選中
金屏選中,指被選為女婿||被選中
射屏之約,指被選為女婿||被選中
雀屏中目,指被選為女婿||被選中
金屏之選,指被選為女婿||被選中
雀屏之選,指被選為女婿||被選中
異口同聲,不同的嘴说出相同的话||指大家说得都一样
異人同辭,形容眾人的說法或看法相同
異口同辭,不同的人说同样的话.形容意见一致.
異口一言,形容眾人的說法或看法相同
異口同音,不同人说同样的话，形容看法、意见完全一致
異聲同辭,形容眾人的說法或看法相同
異口同詞,形容眾人的說法或看法相同
異舌同辭,形容眾人的說法或看法相同
一口同聲,犹一口同音
一口同音,犹言众口一词
異口同喙,形容眾人的說法或看法相同
異喙同辭,形容眾人的說法或看法相同
千山萬水,万道河，千重山||形容路途艰难遥远
萬水千山,万道河，千重山||形容路途艰难遥远
千水萬山,形容路途艰难遥远
不三不四,指不正派，也指不象样子
沒三沒四,指不正經、不像樣
天長地久,跟天和地存在的时间那样长||形容时间悠久||也形容永远不变（多指爱情）
地久天長,时间长，日子久
天長地老,犹天长地久
天長地遠,指天地永恆無窮的存在
地永天長,指天地永恆無窮的存在
履險如夷,走在危险的地方就象走在平地一样||比喻平安地渡过困境
履險若夷,走险路如行平地||比喻不畏困难或本领高强
赴險如夷,走向危险的道路，看作像平坦的大道||形容不避艰险
履困如夷,指走在危險的路上就像走在平地一樣平順||比喻人在艱難危險之中，能沉著應付，安然度過
端人君子,品行端正的人
回光返照,指太阳刚落山时，由于光线反射而发生的天空中短时发亮的现象||比喻人死前精神突然兴奋||也比喻事物灭亡前夕的表面兴旺
迴光反照,指日落时由于反射作用而天空中短时发亮||比喻人死前精神突然兴奋||也比喻事物灭亡前夕的短暂兴旺
迴光返照,指太阳刚落山时，由于光线反射而发生的天空中短时发亮的现象||比喻人死前精神突然兴奋||也比喻事物灭亡前夕的表面兴旺
回光反照,指日落时由于反射作用而天空中短时发亮||比喻人死前精神突然兴奋||也比喻事物灭亡前夕的短暂兴旺
返照回光,佛教语||指用佛性对照检查，自我反省
不即不離,指对人既不接近，也不疏远||多指对人似亲非亲、似疏非疏的关系
脣槍舌劍,舌如剑，唇象枪||形容辩论激烈，言词锋利，象枪剑交锋一样
舌劍脣鎗,舌如剑，唇象枪。||形容争辩激烈，言词锋利，针锋相对，各不相让。
竊竊私語,背地里小声说话
切切細語,指私下低聲談論
竊竊偶語,指私下低聲談論
切切私語,指私下小声说话
一息尚存,还有一口气||指生命的最后阶段
一息僅存,還有一口氣息存在，指仍活在世上
一息猶存,還有一口氣息存在，指仍活在世上
一息尚在,還有一口氣息存在，指仍活在世上
尚存一息,還有一口氣息存在，指仍活在世上
獨善其身,原意是做不上官就修养好自身||现指只顾自己，不管别人
獨善一身,指只顾自己，不管别人||同“独善其身”
張牙舞爪,形容猛兽凶恶可怕||也比喻猖狂凶恶
舞爪張牙,原形容猛兽的凶相，后常用来比喻猖狂凶恶的样子
張牙奮爪,張口露出尖牙，舞動銳利指爪||形容猛獸發威的模樣
張牙露爪,張口露出尖牙，舞動銳利指爪||形容猛獸發威的模樣
露爪張牙,張口露出尖牙，舞動銳利指爪||形容猛獸發威的模樣
奮爪張牙,張口露出尖牙，舞動銳利指爪||形容猛獸發威的模樣
鍥而不舍,不断地镂刻||比喻有恒心，有毅力
鍥而弗舍,指一直刻下去而不停止||比喻有恆心毅力，堅持到底不懈怠
棄甲曳兵,丢掉盔甲，拖着武器||形容打败仗狼狈逃跑的样子
棄甲負弩,丢弃铠甲，背起弓弩||形容战败
丟盔卸甲,形容吃了败仗狼狈逃跑的景象
棄甲丟盔,形容打了败仗狼狈逃走的样子
九泉之下,死人埋葬的地方，即在阴间
重泉幽壤,人死後鬼魂所在之處
重泉之下,人死後鬼魂所在之處
豈有此理,哪有这个道理||指别人的言行或某一事物极其荒谬
安有此理,怎麼會有這種道理||透過反問語氣，表達對荒謬事情難以接受
豈有是理,哪有这个道理||指别人的言行或某一事物极其荒谬
焉有是理,怎麼會有這種道理||透過反問語氣，表達對荒謬事情難以接受
龐然大物,指高大笨重的东西||现也用来形容表面上很强大但实际上很虚弱的事物
心無二用,指做事要专心，注意力必须集中
心不兩用,指一个人的心思一时只能专注于一事
心無兩用,指專注做某事，不分心
心無二想,指專注做某事，不分心
痴人說夢,原指对痴人说梦话而痴人信以为真||比喻凭借荒唐的想象胡言乱语
痴兒說夢,不明事理的痴人，聽完荒誕說法後卻信以為真
大失所望,表示原来的希望完全落空
甚失所望,指非常失望
大失所欲,指非常失望
殊失所望,指非常失望
微不足道,微小得很，不值得一提||指意义、价值等小得不值得一提
卑不足道,指卑微藐小，不值得一谈
目不轉睛,眼珠子一动不动地盯着看||形容注意力集中
目不暫瞬,指眼珠子一動也不動
目不轉瞬,指眼珠子一動也不動
眼不轉睛,指眼睛注视不动。||形容专注
目不旁瞬,指眼珠子一動也不動
目不轉視,指眼珠子一動也不動
身體力行,亲身体验，努力实行
身力行之,指親身實踐
深體力行,指親身實踐
身心力行,指親身實踐
身體力驗,指親身實踐
力行身體,指親身實踐
雙雕一箭,指射箭技術高超||後用「一箭雙鵰」比喻一次舉動，可以同時達成兩個目標
瞬息萬變,在极短的时间内就有很多变化||形容变化很多很快
頃刻萬變,形容在極短的時間內變化迅速
一息萬變,形容在極短的時間內變化迅速
瞬息千變,形容在极短的时间之内变化多而快。
瞬息百變,形容在極短的時間內變化迅速
大功告成,指巨大工程或重要任务宣告完成
大功畢成,指大工程或大任务宣告完成||同“大功告成”
厥功告成,指完成偉大、艱鉅的事務
大功垂成,指完成偉大、艱鉅的事務
大工告竣,指完成偉大、艱鉅的事務
大功告蕆,指完成偉大、艱鉅的事務
大功告竣,指完成偉大、艱鉅的事務
禍從口出,灾祸从口里产生出来||指说话不谨慎容易惹祸
樂此不疲,因酷爱干某事而不感觉厌烦||形容对某事特别爱好而沉浸其中
樂且不疲,特別喜好做某些事，而不覺得厭煩、疲倦
中流擊楫,比喻立志奋发图强
擊楫中流,比喻立志奋发图强
中流擊枻,比喻立志奋发图强。
郢書燕說,比喻牵强附会，曲解原意
燕燭郢書,比喻穿鑿附會，曲解原意
燕書郢說,比喻穿鑿附會，曲解原意
出人意表,出乎人们意料之外
出於意外,指出乎人的意料之外
出於料外,讓人意想不到
出於意表,指出乎人的意料之外
超人意表,讓人意想不到
絕人意表,讓人意想不到
意出人表,讓人意想不到
出人意外,出于人们的意料之外，都没想到的
出人意料,出乎人们意料之外
出乎意外,用于意想、预料之外
先見之明,事先看清问题的能力||指对事物发展的预见性
先知之明,指具備預先洞察事物的能力
形形色色,指各式各样，种类很多
色色形形,各種形態樣貌
擇善而從,指选择好的学，按照好的做
擇善而行,指选择有益的事去做
擇從其善,選擇好的去追隨、採用
人聲鼎沸,形容人群的声音吵吵嚷嚷，就象煮开了锅一样
蜜口劍腹,犹言口蜜腹剑
撟抂過正,矫枉过正||指纠正偏差而超过必要的限度
似是而非,好像是对的，实际上不对
似之而非,外形看起來相同，但實際上卻不同
類是而非,外形看起來相同，但實際上卻不同
